Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
55454,44.969524,-93.241219,Minneapolis,Hennepin,Minneapolis-St Paul,MN,170100,,176000,,,
55703,47.730899,-92.750065,Angora,Saint Louis,Duluth,MN,97100,,,,,
55705,47.451802,-92.207357,Aurora,Saint Louis,Duluth,MN,80200,,79200,97400,110600,
55710,47.629693,-92.708559,Mountain Iron,Saint Louis,Duluth,MN,144500,,146100,170900,,
55724,47.166394,-92.355122,Cotton,Saint Louis,Duluth,MN,124400,,,177200,,
55731,47.981053,-91.656877,Ely,Saint Louis,Duluth,MN,151900,,189300,125700,,
55732,47.672842,-92.208675,Embarrass,Saint Louis,Duluth,MN,96800,,107200,,,
55736,46.955641,-92.940845,Floodwood,Saint Louis,Duluth,MN,101700,,109700,152100,,
55741,47.462585,-92.398232,Gilbert,Saint Louis,Duluth,MN,98800,,94200,109600,,
55746,47.361847,-92.955661,Hibbing,Saint Louis,Duluth,MN,95200,59700,78200,,106200,
55763,47.347559,-92.155289,Makinen,Saint Louis,Duluth,MN,115200,,,,,
55765,47.103712,-92.756285,Meadowlands,Saint Louis,Duluth,MN,106000,,,,,
55768,47.486978,-92.684322,Mountain Iron,Saint Louis,Duluth,MN,104200,,100100,138700,,
55779,46.908724,-92.4491,Saginaw,Saint Louis,Duluth,MN,196000,,210100,249800,274900,
55792,47.597028,-92.479684,Virginia,Saint Louis,Duluth,MN,83700,,89700,,,
55802,46.740951,-92.049345,Duluth,Saint Louis,Duluth,MN,200000,,279400,310100,,
55803,47.053522,-92.068754,Duluth,Saint Louis,Duluth,MN,186200,132700,161500,213000,265000,316400
55804,46.931351,-91.936344,Duluth,Saint Louis,Duluth,MN,186600,153100,156700,198600,263000,346600
55805,46.800824,-92.095786,Duluth,Saint Louis,Duluth,MN,117800,,113800,121500,133100,
55806,46.768139,-92.127642,Duluth,Saint Louis,Duluth,MN,98500,,97900,100000,112700,
55807,46.735493,-92.168592,Duluth,Saint Louis,Duluth,MN,110400,,104000,117900,137100,
55808,46.676281,-92.241391,Duluth,Saint Louis,Duluth,MN,102800,,101200,139900,152600,
55810,46.756745,-92.269437,Proctor,Saint Louis,Duluth,MN,162900,,137100,183700,220300,
55811,46.842463,-92.221917,Duluth,Saint Louis,Duluth,MN,185700,123500,166400,210900,255800,317300
55812,46.808688,-92.070727,Duluth,Saint Louis,Duluth,MN,199400,,155500,185100,240400,324800
55901,44.069818,-92.506581,Rochester,Olmsted,Rochester,MN,195200,,152800,176700,231000,313500
55902,43.971218,-92.507094,Rochester,Olmsted,Rochester,MN,284000,,182100,287700,408100,525100
55904,43.959886,-92.400595,Rochester,Olmsted,Rochester,MN,165500,109100,145400,162400,232300,260800
55906,44.0999,-92.408157,Rochester,Olmsted,Rochester,MN,239600,103000,156600,190400,320100,388100
55910,44.12866,-91.971828,Altura,Winona,Winona,MN,153500,,,161100,,
