Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
13021,42.922279,-76.558539,Auburn,Cayuga,Auburn,NY,114600,98500,105500,114800,132700,145700
13045,42.573849,-76.202145,Cortland,Cortland,Cortland,NY,105200,67900,97900,106200,122000,143000
13069,43.329276,-76.380655,Fulton,Oswego,Syracuse,NY,81600,61100,66200,83100,96200,94100
13126,43.438798,-76.457454,Town of Oswego,Oswego,Syracuse,NY,86400,57800,64400,91300,107600,102800
14094,43.157758,-78.701995,Town of Lockport,Niagara,Buffalo,NY,129500,79900,97400,128300,167000,173100
14450,43.092487,-77.420461,Perinton,Monroe,Rochester,NY,190200,80400,140400,173500,220900,250300
14617,43.225497,-77.593527,Irondequoit,Monroe,Rochester,NY,121500,66700,105100,120400,142700,180200
14620,43.128291,-77.605805,Rochester,Monroe,Rochester,NY,134800,93700,104100,137500,150900,182700
14850,42.432165,-76.497042,Ithaca,Tompkins,Ithaca,NY,258900,149000,186100,231500,327400,376700
15001,40.595263,-80.322877,Hopewell Township,Beaver,Pittsburgh,PA,130200,73400,97000,142200,252900,172500
15010,40.770872,-80.351446,Chippewa Township,Beaver,Pittsburgh,PA,127700,74800,101200,140300,182400,184300
15106,40.41012,-80.114202,Carnegie,Allegheny,Pittsburgh,PA,137400,74900,104000,148000,219600,170700
15108,40.500472,-80.201802,Moon Township,Allegheny,Pittsburgh,PA,188900,59500,106600,183100,294300,259500
15132,40.339767,-79.842782,McKeesport,Allegheny,Pittsburgh,PA,55800,40300,45700,61100,81200,90600
15202,40.504968,-80.067821,Bellevue,Allegheny,Pittsburgh,PA,137500,54700,110600,139300,173400,195400
15205,40.438093,-80.09909,Pittsburgh,Allegheny,Pittsburgh,PA,131700,87400,118600,135000,193600,217000
15212,40.456939,-79.990054,Pittsburgh,Allegheny,Pittsburgh,PA,86600,54700,64100,94900,137900,174200
15213,40.444042,-79.955247,Pittsburgh,Allegheny,Pittsburgh,PA,172200,137300,155100,179300,239100,478600
15216,40.402626,-80.034849,Pittsburgh,Allegheny,Pittsburgh,PA,129900,75700,90900,137300,195400,196300
15232,40.452517,-79.931939,Pittsburgh,Allegheny,Pittsburgh,PA,361500,162400,276500,378100,594200,780600
15235,40.459801,-79.82242,Penn Hills,Allegheny,Pittsburgh,PA,92300,64600,74600,93300,142300,158500
15237,40.549607,-80.043513,Ross Township,Allegheny,Pittsburgh,PA,223900,73300,153800,203500,309700,340200
15301,40.153494,-80.253464,Washington,Washington,Pittsburgh,PA,143300,77700,106500,157700,226100,181200
15317,40.276893,-80.170729,North Strabane Township,Washington,Pittsburgh,PA,233200,100700,139700,209600,324500,371000
16117,40.871835,-80.256207,Ellwood City,Lawrence,New Castle,PA,90900,63300,73900,101800,111800,101500
16201,40.805185,-79.469413,Kittanning Township,Armstrong,Pittsburgh,PA,109200,79100,83900,116300,121700,140700
16505,42.131338,-80.138303,Millcreek Township,Erie,Erie,PA,135300,95900,110800,133500,209100,362500
16510,42.108991,-79.954821,Erie,Erie,Erie,PA,110300,77800,89000,110400,152700,174400
17011,40.23483,-76.928846,Lower Allen Township,Cumberland,Harrisburg,PA,188100,116900,146400,174100,251600,275300
