Latitude,Longitude,City,County,Metro,State,MedianPrice,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
42.2417675,-70.8036544,Cohasset,Norfolk,Boston,MA,805200.0,545800.0,609700.0,675800.0,853100.0,1094900.0
42.2417653,-71.166164,Dedham,Norfolk,Boston,MA,449100.0,269100.0,369100.0,442000.0,554700.0,826200.0
42.283431,-71.2328329,Needham,Norfolk,Boston,MA,837100.0,339200.0,617300.0,723600.0,961500.0,1342100.0
42.194543,-71.1994976,Norwood,Norfolk,Boston,MA,429000.0,186600.0,366600.0,428900.0,501700.0,541200.0
42.2528772,-71.0022705,Quincy,Norfolk,Boston,MA,419500.0,256200.0,346800.0,450500.0,516300.0,691500.0
42.1625997,-71.0411588,Randolph,Norfolk,Boston,MA,323200.0,128100.0,269200.0,324400.0,370700.0,392100.0
42.2209333,-70.9397684,Weymouth,Norfolk,Boston,MA,366300.0,172100.0,299900.0,375800.0,441000.0,475600.0
42.3020436,-70.9078243,Hull,Plymouth,Boston,MA,404700.0,253200.0,335700.0,410600.0,449400.0,606200.0
41.89297301,-70.91487957,Middleborough,Plymouth,Boston,MA,317900.0,235300.0,263300.0,320900.0,380600.0,407400.0
41.9584367,-70.6672577,Plymouth,Plymouth,Boston,MA,342000.0,229200.0,288500.0,340500.0,412500.0,504200.0
41.7626037,-70.7217017,Wareham,Plymouth,Boston,MA,254300.0,181400.0,216800.0,279500.0,333300.0,474800.0
42.3584308,-71.0597732,Boston,Suffolk,Boston,MA,563300.0,522800.0,593400.0,541600.0,604400.0,667400.0
42.3917638,-71.0328284,Chelsea,Suffolk,Boston,MA,338200.0,251700.0,309100.0,370400.0,402100.0,464000.0
42.4084302,-71.0119948,Revere,Suffolk,Boston,MA,367600.0,218300.0,337600.0,392700.0,434100.0,505200.0
42.3750976,-70.982827,Winthrop,Suffolk,Boston,MA,457000.0,318200.0,342600.0,469000.0,529300.0,576600.0
42.13565,-71.970074,Charlton,Worcester,Worcester,MA,289700.0,196800.0,224200.0,288000.0,363800.0,388500.0
42.3517586,-71.8634062,Holden,Worcester,Worcester,MA,291000.0,176600.0,233300.0,286100.0,391600.0,447500.0
42.5250906,-71.759794,Leominster,Worcester,Worcester,MA,238500.0,114100.0,171500.0,250100.0,310300.0,340200.0
42.2695387,-71.6161777,Westborough,Worcester,Worcester,MA,460800.0,137100.0,344800.0,421700.0,632200.0,635900.0
42.2625932,-71.8022934,Worcester,Worcester,Worcester,MA,217400.0,114500.0,176800.0,225600.0,264500.0,333300.0
38.9784453,-76.4921829,Annapolis,"Anne Arundel",Baltimore,MD,400900.0,256700.0,282400.0,391700.0,573100.0,810900.0
39.2403841,-76.8394184,Columbia,Howard,Baltimore,MD,344000.0,120200.0,212200.0,312400.0,422800.0,540300.0
38.9806658,-77.100256,Bethesda,Montgomery,Washington,MD,830900.0,282400.0,490600.0,826000.0,932100.0,1367700.0
38.9906657,-77.026088,"Silver Spring",Montgomery,Washington,MD,389200.0,142300.0,211600.0,385600.0,439500.0,496100.0
38.3365033,-75.0849058,"Ocean City",Worcester,Salisbury,MD,244600.0,158300.0,243200.0,345000.0,501400.0,751300.0
43.5944677,-83.8888648,"Bay City",Bay,"Bay City",MI,59600.0,40000.0,47300.0,61200.0,61900.0,63800.0
43.0125274,-83.6874562,Flint,Genesee,Flint,MI,53200.0,43900.0,47600.0,51700.0,62000.0,76900.0
42.9633599,-85.6680863,"Grand Rapids",Kent,"Grand Rapids",MI,134700.0,153600.0,123700.0,143600.0,161300.0,166700.0
42.5294773,-83.7802214,Brighton,Livingston,Detroit,MI,269000.0,119100.0,200000.0,255700.0,336000.0,414100.0
42.4969805,-82.8888054,"Saint Clair Shores",Macomb,Detroit,MI,134900.0,44500.0,116200.0,136900.0,169400.0,174500.0
43.1689044,-86.2639461,"Norton Shores",Muskegon,Muskegon,MI,138100.0,77400.0,102000.0,127500.0,198300.0,304700.0
42.583645,-83.2454883,"Bloomfield Hills",Oakland,Detroit,MI,435200.0,111100.0,183300.0,361500.0,485900.0,871500.0
42.4853125,-83.3771553,"Farmington Hills",Oakland,Detroit,MI,252400.0,87800.0,154000.0,222200.0,301700.0,386300.0
42.4605917,-83.1346478,Ferndale,Oakland,Detroit,MI,141700.0,116200.0,117000.0,154300.0,189600.0,195600.0
42.4625362,-83.1040913,"Hazel Park",Oakland,Detroit,MI,67700.0,54100.0,54500.0,72000.0,84300.0,102200.0
42.6583661,-83.1499322,"Rochester Hills",Oakland,Detroit,MI,292700.0,117700.0,164900.0,258700.0,357200.0,437000.0
42.4894801,-83.1446485,"Royal Oak",Oakland,Detroit,MI,221600.0,88400.0,183200.0,220200.0,289600.0,323900.0
42.46059,-83.6516063,"South Lyon",Oakland,Detroit,MI,308100.0,113600.0,155300.0,265600.0,375600.0,432500.0
42.6055893,-83.1499304,Troy,Oakland,Detroit,MI,293100.0,144100.0,183800.0,257900.0,383800.0,427900.0
42.7022527,-83.402718,Waterford,Oakland,Detroit,MI,150500.0,81100.0,121900.0,156000.0,188200.0,195200.0
42.7875235,-86.1089301,Holland,Ottawa,"Grand Rapids",MI,172100.0,138200.0,144900.0,175500.0,231700.0,362000.0
42.2708716,-83.7263294,"Ann Arbor",Washtenaw,"Ann Arbor",MI,343900.0,174200.0,238600.0,309800.0,414200.0,582000.0
42.3222599,-83.1763145,Dearborn,Wayne,Detroit,MI,144400.0,52500.0,115900.0,144400.0,182500.0,210200.0
42.331427,-83.0457538,Detroit,Wayne,Detroit,MI,45600.0,53000.0,37900.0,41300.0,52300.0,83700.0
42.36837,-83.3527097,Livonia,Wayne,Detroit,MI,188600.0,63300.0,136400.0,200600.0,302300.0,278700.0
45.14554916,-93.30440296,"Coon Rapids",Anoka,"Minneapolis-St Paul",MN,200700.0,161100.0,163800.0,200700.0,231800.0,242500.0
44.1635775,-93.9993996,Mankato,"Blue Earth",Mankato,MN,181200.0,114200.0,165600.0,165500.0,220300.0,249400.0
44.7319094,-93.21772,"Apple Valley",Dakota,"Minneapolis-St Paul",MN,261600.0,95000.0,172400.0,253400.0,307600.0,371600.0
44.7677424,-93.2777226,Burnsville,Dakota,"Minneapolis-St Paul",MN,261500.0,104700.0,172400.0,256200.0,289000.0,309100.0
44.8041322,-93.1668858,Eagan,Dakota,"Minneapolis-St Paul",MN,283100.0,109300.0,175900.0,266000.0,341300.0,430200.0
44.9160768,-93.1016074,"West Saint Paul",Dakota,"Minneapolis-St Paul",MN,202500.0,144100.0,180800.0,204800.0,241400.0,277600.0
44.840798,-93.2982799,Bloomington,Hennepin,"Minneapolis-St Paul",MN,244400.0,130800.0,189300.0,244600.0,291500.0,342500.0
45.0941315,-93.3563405,"Brooklyn Park",Hennepin,"Minneapolis-St Paul",MN,218400.0,152500.0,202700.0,222300.0,331800.0,332300.0
44.8546856,-93.470786,"Eden Prairie",Hennepin,"Minneapolis-St Paul",MN,346200.0,150800.0,197000.0,318700.0,413000.0,537900.0
44.8896866,-93.3499489,Edina,Hennepin,"Minneapolis-St Paul",MN,432100.0,132300.0,304600.0,464500.0,571600.0,726100.0
